Sport,Location,Funding,Year,Month,Day,SportGroup,Date
Canoeing,Rio de Janeiro,20043618,2016,8,5,Other,2016-08-05
Cycling,Rio de Janeiro,30267816,2016,8,5,Cycling,2016-08-05
Diving,Rio de Janeiro,7467860,2016,8,5,Other,2016-08-05
Equestrian,Rio de Janeiro,17992600,2016,8,5,Other,2016-08-05
Fencing,Rio de Janeiro,4225261,2016,8,5,Other,2016-08-05
Gymnastics,Rio de Janeiro,14615428,2016,8,5,Other,2016-08-05
Hockey,Rio de Janeiro,16141393,2016,8,5,Other,2016-08-05
Judo,Rio de Janeiro,7366200,2016,8,5,Other,2016-08-05
Modern Pentathlon,Rio de Janeiro,6972174,2016,8,5,Other,2016-08-05
Rowing,Rio de Janeiro,32622862,2016,8,5,Rowing,2016-08-05
Sailing,Rio de Janeiro,25504055,2016,8,5,Sailing,2016-08-05
Shooting,Rio de Janeiro,3950888,2016,8,5,Other,2016-08-05
Swimming,Rio de Janeiro,20795828,2016,8,5,Swimming,2016-08-05
Taekwondo,Rio de Janeiro,8052837,2016,8,5,Other,2016-08-05
Triathlon,Rio de Janeiro,7457977,2016,8,5,Other,2016-08-05
Weightlifting,Rio de Janeiro,1709340,2016,8,5,Other,2016-08-05
